                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                 0.7076,                0.38916,                0.92512,                0.98351,                0.96707,                0.97904,                0.74693,                0.92115,                0.43416,                0.99754,              0.0002972,              0.0002972,              0.0002972
                     88,                0.70951,                0.39045,                0.92929,                0.98901,                0.97245,                0.97811,                0.75493,                0.89412,                0.42614,                0.98945,              0.0002774,              0.0002774,              0.0002774
                     89,                 0.7032,                0.37892,                0.91563,                0.98827,                0.97297,                0.97945,                0.74905,                0.90358,                0.41008,                0.99375,              0.0002576,              0.0002576,              0.0002576
                     90,                0.68542,                0.37216,                0.91804,                0.98833,                0.97297,                0.98073,                0.74732,                0.91408,                 0.4206,                0.99627,              0.0002378,              0.0002378,              0.0002378
                     91,                0.67682,                0.34699,                0.92862,                0.97826,                0.97282,                0.98434,                0.75499,                0.89149,                 0.4203,                0.98582,               0.000218,               0.000218,               0.000218
                     92,                0.62901,                0.33244,                0.90072,                0.98852,                0.96757,                0.98504,                0.75561,                0.88612,                  0.417,                0.98348,              0.0001982,              0.0001982,              0.0001982
                     93,                0.65085,                0.34576,                0.90332,                0.98792,                0.96757,                0.98554,                0.75412,                0.90237,                0.42109,                0.99449,              0.0001784,              0.0001784,              0.0001784
                     94,                0.62373,                0.32906,                0.89482,                  0.989,                0.97235,                0.98385,                0.74886,                0.90783,                0.42631,                0.99662,              0.0001586,              0.0001586,              0.0001586
                     95,                0.61346,                0.32295,                0.90505,                0.98877,                0.97297,                 0.9831,                0.75054,                0.91607,                0.43251,                0.99993,              0.0001388,              0.0001388,              0.0001388
                     96,                0.62002,                0.32682,                0.90105,                0.98892,                0.97297,                0.98251,                0.75432,                0.90261,                0.42323,                0.99471,               0.000119,               0.000119,               0.000119
                     97,                0.60477,                0.31761,                0.88621,                0.98881,                0.97297,                0.98285,                 0.7542,                0.91597,                0.43048,                0.99657,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.60363,                0.32228,                0.88281,                0.98882,                0.97297,                0.98324,                0.76218,                0.90184,                0.42856,                0.99301,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.58759,                0.31069,                0.89239,                0.98831,                0.97297,                0.98211,                0.75666,                 0.9165,                0.43243,                0.99879,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.59454,                0.31613,                0.89777,                0.98853,                0.97297,                0.98217,                0.75653,                0.90899,                0.42953,                0.99699,               3.98e-05,               3.98e-05,               3.98e-05
